article_id,url,title,author,time,content,tags,img_url
2117756,https://dongqiudi.com/articles/2117756.html,欧洲杯进球丨欧洲杯第二快进球，莱万100秒攻破葡萄牙球门,体育百科,07-01 23:28,[],"['波兰', '拜仁慕尼黑', '莱万多夫斯基']",https://xyimg1.qunliao.info/fastdfs6/M00/23/7A/280x210/crop/-/rBUESWDd2GOAN9ECABfl2oo_6TE184.jpg
2117743,https://dongqiudi.com/articles/2117743.html,德媒：奥格斯堡想要皇家社会中卫萨尼安,阿漂,07-01 23:22,"['德国媒体《足球转会》网站消息，奥格斯堡正在考虑补强后卫线，他们对皇家社会中卫萨尼安很感兴趣。', '22岁的马里球员萨尼安与皇家社会有一份到2024年的合同，2020-21赛季他代表皇家社会出场19次，其中9次首发。', '2019年夏天，皇家社会花费450万欧元从朗斯将他签下，但是他没能在西甲取得突破。']","['奥格斯堡', '皇家社会', '萨尼安']",https://xyimg1.qunliao.info/fastdfs5/M00/48/E1/280x210/crop/-/rB8CCl-CmpqAMxe8AAElI889hmg127.jpg
2117736,https://dongqiudi.com/articles/2117736.html,官方：海登海姆租借狼堡青训后卫西尔斯莱本，租期2年,阿漂,07-01 23:18,"['德乙球队海登海姆官方宣布，从沃尔夫斯堡租借小将西尔斯莱本，他将为球队效力2年。', '21岁的西尔斯莱本司职中卫，2016年夏天从马格德堡加盟狼堡青训，并在2020年底签下了一份到2024年的职业合同。', '2020-21赛季，西尔斯莱本一共代表狼堡出场1次，他将在海登海姆积累比赛经验。']","['沃尔夫斯堡', '海登海姆', '西尔斯莱本']",https://csimg2.qunliao.info/fastdfs6/M00/23/7B/280x210/crop/-/rBUESWDd3J6AFuZcAAH9Q2rU9sw053.jpg
2117722,https://dongqiudi.com/articles/2117722.html,踢球者：即将签下A席，莱比锡将外租索尔洛特和黄喜灿,阿漂,07-01 23:14,"['德国媒体《足球转会》网站消息，莱比锡接近签下2020-21赛季赛季的德甲银靴安德烈-席尔瓦，索尔洛特和黄喜灿可能都会离队。', '《踢球者》透露，莱比锡希望以租借的形式送走索尔洛特和黄喜灿。小将萨马尔季奇也将被送到其他球队积累比赛经验。', '莱比锡上赛季一共在德甲打进60球，排名联赛第六位，队内头号射手是司职中场的萨比策，打进了8球。安德烈-席尔瓦以28球位列上赛季德甲射手榜第二名，仅次于莱万。']","['法兰克福', 'RB莱比锡', '索尔洛特', '安德烈-席尔瓦', '黄喜灿', '拉扎尔-萨马尔季奇']",https://xyimg1.qunliao.info/fastdfs6/M00/1E/8D/280x210/crop/-/rBUESWDNMiuATviGAAFDHRQ3-Ss253.jpg
2117705,https://dongqiudi.com/articles/2117705.html,费迪南德挥拳庆祝桑乔加盟曼联：数据不会撒谎，我相信他！,剪翻足球,07-01 23:06,[],"['曼联', '费迪南德', '桑乔']",https://xyimg1.qunliao.info/fastdfs6/M00/23/7A/280x210/crop/-/rBUESWDd2a6ADVmYACmiUm5YBWY172.png
2117702,https://dongqiudi.com/articles/2117702.html,瑞士媒体：马赛想要多特门将布尔基，应该已经送上报价,阿漂,07-01 23:05,"['德国媒体sport.de消息，布尔基离开多特蒙德的可能性越来越大了，瑞士媒体透露，法甲球队马赛对他很感兴趣。', '在为多特蒙德效力六年后，布尔基可能在今夏离队。尽管这笔转会还没正式宣布，但在签下另一名瑞士门将科贝尔后，布尔基在多特已经没有了未来。', '瑞士媒体《一瞥报》透露，马赛正在追逐布尔基，可能已经送上了一份报价。', '《体育图片》曾表示，多特对布尔基的标价为500万欧元。']","['马赛', '多特蒙德', '布尔基']",https://csimg2.qunliao.info/fastdfs6/M00/0C/8A/280x210/crop/-/rBUESWCPtsSAOwGOAAH6NoAScO0294.jpg
2117698,https://dongqiudi.com/articles/2117698.html,官方：斯图加特旧将鲍姆加特尔租借加盟柏林联合,阿漂,07-01 23:00,"['德甲球队柏林联合官方宣布，司职中卫的鲍姆加特尔离开荷甲球队埃因霍温，重返德甲联赛，他将以租借形式为柏林联合效力。', '鲍姆加特尔出道于斯图加特青训营，并在斯图加特迎来职业生涯首秀，成长为球队的主力球员，在代表球队出战121场比赛后，鲍姆加特尔转会去了埃因霍温，转会费为1000万欧元。', '在埃因霍温的两个赛季，鲍姆加特尔一共出战了21场荷甲。']","['柏林联合', 'PSV埃因霍温', '鲍姆加特尔']",https://bdimg1.qunliao.info/tos-cn-i-j5hyufq5o6/fastdfs6/M00/23/7D/rBUCgGDd2JqAA08WAACSuiykE1M873.jpg~tplv-j5hyufq5o6-crop:280:210.jpeg
2117686,https://dongqiudi.com/articles/2117686.html,科隆官方：免签布隆德比门将施瓦伯,阿漂,07-01 22:54,"['德甲球队科隆官方宣布，从丹麦超球队布隆德比签下德国门将施瓦伯。', '26岁的施瓦伯上赛季随布隆德比夺得丹麦超冠军，他以自由转会的方式加盟科隆，签约到了2024年。', '施瓦伯出道于法兰克福青训营，曾效力于霍芬海姆、奥斯纳布吕克和德累斯顿迪纳摩，2018年夏天转会布隆德比。']","['布隆德比', '科隆', '施瓦伯']",https://xyimg1.qunliao.info/fastdfs6/M00/23/7A/280x210/crop/-/rBUESWDd1vGAbV0WAAGHa5_1T5s914.jpg
2117677,https://dongqiudi.com/articles/2117677.html,官方：柏林联合免签桑德豪森前锋贝伦斯,阿漂,07-01 22:48,"['德甲球队柏林联合官方宣布，从德乙球队桑德豪森免签司职前锋的凯文-贝伦斯。', '30岁的贝伦斯出生于不莱梅，曾在不莱梅青训营接受训练，此后辗转维尔赫尔姆黑文、汉诺威96、亚琛、艾森、萨尔布吕肯，2018年夏天加盟桑德豪森，最近三个赛季都是球队征战德乙的主力前锋。', '2020-21赛季，贝伦斯出场32次，打进13球，2019-20赛季他也有14球进账。']","['柏林联合', '桑德豪森', '贝伦斯']",https://csimg2.qunliao.info/fastdfs6/M00/23/7B/280x210/crop/-/rBUCgGDd1ZeAELoOAAEGvBH_DJs847.jpg
2117668,https://dongqiudi.com/articles/2117668.html,科隆高层：马克斯-迈尔不在我们的计划之中,阿漂,07-01 22:44,"['德国媒体sport.de消息，科隆体育主管雅各布斯在新闻发布会上公开确认，德国前国脚马克斯-迈尔不在球队的计划之中。', '科隆在今年1月免签了与水晶宫解约的迈尔，签约到2020-21赛季结束。在为科隆效力的半个赛季里，迈尔出场12次，其中3次首发，没有贡献进球和助攻。', '雅各布斯说：“马克斯-迈尔不在我们的计划之中。”', '鲍姆加特说：“迈尔是一名非常有天赋的球员，但我们要谈的不是这个。我们目前的阵容里有39名球员，如果有谁合同到期，那就顺其自然吧。”']","['科隆', '马克斯-迈尔', '鲍姆加特']",https://xyimg1.qunliao.info/fastdfs5/M00/69/D2/280x210/crop/-/rB8BO2AYvHCASRECAAEYeh9co_k216.jpg
